rank,score,regime,size,seed,cluster_count_min,cluster_count_max,cluster_size_min,cluster_size_max,removed_min,removed_max,open_cells,optimal_moves,optimal_overlap,snake_moves,spiral_moves,heuristic_gap,turn_count,turn_density,move_entropy,spatial_turn_entropy,bridges,articulations,dead_ends,choice_points,alt_optima_fraction,alt_optima_probed
122,0.5567,single_mass,8,49,1,2,25,60,0.25,0.35,47,48,2,58,60,0.208,31,0.646,1.974,2.764,7,7,2,35,,0
123,0.5565,single_mass,12,45,1,2,25,60,0.25,0.35,114,116,3,193,196,0.664,58,0.500,1.995,2.939,14,13,3,94,,0
124,0.5557,default,10,31,3,5,5,10,0.2,0.4,88,90,3,138,105,0.167,52,0.578,1.917,3.088,7,7,3,76,,0
125,0.5549,single_mass,14,7,1,2,25,60,0.25,0.35,182,183,2,231,209,0.142,109,0.596,1.995,3.091,3,3,3,173,,0
126,0.5546,medium_clusters,14,13,3,4,6,12,0.3,0.4,180,181,2,231,205,0.133,107,0.591,1.990,3.116,3,3,1,167,,0
127,0.5539,default,10,41,3,5,5,10,0.2,0.4,88,89,2,113,103,0.157,61,0.685,1.971,3.076,0,0,0,78,,0
128,0.5535,medium_clusters,14,3,3,4,6,12,0.3,0.4,185,186,2,203,221,0.091,112,0.602,1.983,3.140,3,3,2,175,,0
129,0.5526,dispersed,14,49,12,25,1,2,0.18,0.28,171,172,2,231,192,0.116,114,0.663,1.986,3.121,0,0,0,143,,0
130,0.5513,single_mass,8,45,1,2,25,60,0.25,0.35,46,47,2,62,62,0.319,28,0.596,1.951,2.955,4,5,2,36,,0
131,0.5501,single_mass,10,1,1,2,25,60,0.25,0.35,79,81,3,106,124,0.309,46,0.568,1.980,2.905,8,9,2,64,,0
132,0.5496,default,12,32,4,6,6,12,0.2,0.4,122,124,3,199,153,0.234,64,0.516,1.972,3.060,7,7,3,106,,0
133,0.5487,medium_clusters,12,2,3,4,6,12,0.3,0.4,132,133,2,145,149,0.090,84,0.632,1.995,3.136,3,3,1,120,,0
134,0.5487,medium_clusters,14,28,3,4,6,12,0.3,0.4,180,180,1,245,198,0.100,107,0.594,1.964,3.125,4,4,1,167,,0
135,0.5486,default,10,2,3,5,5,10,0.2,0.4,86,88,3,122,106,0.205,50,0.568,1.975,3.042,8,9,2,70,,0
136,0.5468,single_mass,12,0,1,2,25,60,0.25,0.35,129,131,3,150,166,0.145,71,0.542,1.967,3.137,7,7,1,114,,0
137,0.5465,default,8,29,2,4,4,8,0.2,0.4,53,55,3,87,67,0.218,34,0.618,1.968,2.970,4,6,1,41,,0
138,0.5463,medium_clusters,10,1,3,4,6,12,0.3,0.4,80,82,3,124,104,0.268,46,0.561,1.980,3.045,4,5,2,66,,0
139,0.5457,default,10,25,3,5,5,10,0.2,0.4,85,87,3,107,102,0.172,54,0.621,1.962,3.075,2,2,2,73,,0
140,0.5442,medium_clusters,14,24,3,4,6,12,0.3,0.4,180,181,2,231,203,0.122,105,0.580,1.982,3.104,5,5,2,167,,0
141,0.5428,medium_clusters,14,7,3,4,6,12,0.3,0.4,183,182,0,198,198,0.088,115,0.632,2.000,3.138,1,1,1,172,,0
142,0.5417,single_mass,10,46,1,2,25,60,0.25,0.35,76,76,1,120,95,0.250,42,0.553,1.958,3.028,6,6,2,63,,0
143,0.5399,single_mass,14,49,1,2,25,60,0.25,0.35,157,158,2,187,184,0.165,85,0.538,1.995,3.142,2,2,2,146,,0
144,0.5394,default,10,23,3,5,5,10,0.2,0.4,85,84,0,92,93,0.095,55,0.655,1.998,3.101,5,5,2,72,,0
145,0.5379,medium_clusters,10,12,3,4,6,12,0.3,0.4,86,86,1,92,95,0.070,60,0.698,1.977,3.116,4,4,2,71,,0
146,0.5343,single_mass,14,3,1,2,25,60,0.25,0.35,173,175,3,251,208,0.189,93,0.531,1.979,3.063,4,4,3,162,,0
147,0.5331,single_mass,10,45,1,2,25,60,0.25,0.35,72,74,3,130,122,0.649,39,0.527,1.961,2.855,12,11,3,54,,0
